,Block Hours,Flight Hours,Departures,RPMs,ASMs,Gallons
January,194.49,175,60.29,11.34,13.64,222.7
February,171.16,154.01,53.06,9.98,12.01,195.99
March,191.66,172.45,59.41,11.17,13.44,219.46
April,166.94,150.21,51.75,9.73,11.71,191.16
May,177.49,159.7,55.02,10.35,12.45,203.23
June,189.09,170.14,58.61,11.02,13.26,216.51
July,184.48,165.99,57.18,10.75,12.94,211.23
August,191.13,171.98,59.25,11.14,13.41,218.85
September,183.49,165.1,56.88,10.7,12.87,210.1
October,197.92,178.09,61.35,11.54,13.88,226.63
November,180.59,162.49,55.98,10.53,12.67,206.78
December,174.13,156.68,53.97,10.15,12.21,199.38
